i,ax,ay,az,gx,gy,gz
0,0.4111,0.3975,0.3706,-3.985,5.015,-7.504
1,0.3752,0.3799,0.3481,0.183,3.695,-1.122
2,0.3538,0.3621,0.3433,7.542,3.023,3.618
3,0.3435,0.3418,0.3552,13.687,8.328,6.992
4,0.3352,0.3323,0.3738,22.244,15.466,7.282
5,0.3169,0.3486,0.4363,32.74,24.481,3.992
6,0.3196,0.3972,0.5139,43.0,28.0,-2.252
7,0.3562,0.4341,0.5667,49.908,18.863,-10.832
8,0.3882,0.4724,0.5398,44.137,0.42,-17.359
9,0.4163,0.5574,0.4456,26.977,-16.122,-20.748
10,0.457,0.6187,0.3999,7.031,-16.504,-18.229
11,0.5398,0.6057,0.4053,-2.153,-6.511,-11.153
12,0.6135,0.5925,0.4165,-4.237,0.962,-2.771
13,0.6309,0.574,0.4648,-4.679,9.611,5.099
14,0.6257,0.5566,0.4751,-2.595,16.282,11.595
15,0.606,0.5518,0.4917,-1.55,15.176,12.229
16,0.5852,0.5525,0.5015,-4.84,8.412,7.802
17,0.5645,0.5623,0.4927,-11.351,1.878,0.336
18,0.5549,0.571,0.4756,-16.809,-3.908,-7.168
19,0.5742,0.5847,0.4849,-17.687,-5.863,-13.191
20,0.5798,0.6172,0.5059,-14.542,-3.0,-14.634
21,0.5811,0.6577,0.5195,-10.977,0.534,-11.115
22,0.5698,0.6748,0.5381,-10.542,1.275,-7.969
23,0.5444,0.6577,0.5354,-11.916,-2.542,-5.626
24,0.5361,0.6047,0.5305,-12.511,-5.901,-2.214
25,0.5452,0.554,0.5127,-10.229,-7.573,1.435
26,0.5562,0.5403,0.5291,-8.374,-4.534,3.679
27,0.5864,0.5459,0.5203,-8.527,-2.634,3.328
28,0.5972,0.5564,0.5364,-10.252,-1.901,1.84
29,0.5889,0.5808,0.5613,-13.221,-1.069,0.115
30,0.5901,0.584,0.5801,-13.198,0.45,-0.229
31,0.5996,0.5767,0.5906,-11.374,-0.519,-0.183
32,0.5886,0.575,0.5852,-8.58,-4.038,0.87
33,0.5549,0.5803,0.5745,-6.061,-4.992,2.313
34,0.5391,0.5786,0.5669,-2.718,-0.382,3.229
35,0.5474,0.5737,0.5522,0.893,3.947,2.344
36,0.5625,0.5457,0.5435,4.855,4.992,0.618
37,0.5654,0.5388,0.5635,8.969,7.038,-0.672
38,0.5618,0.5344,0.582,12.664,9.191,-0.191
39,0.5654,0.5366,0.5916,14.282,8.573,0.443
40,0.5591,0.5347,0.5989,11.153,4.794,0.244
41,0.5532,0.5276,0.6101,7.489,0.954,1.611
42,0.5508,0.5232,0.5886,5.038,-2.679,4.221
43,0.5361,0.5083,0.5535,4.061,-10.29,8.099
44,0.4739,0.4661,0.519,4.565,-17.344,13.45
45,0.3728,0.4294,0.3765,-3.511,-22.565,19.863
46,0.3015,0.3816,0.1843,-23.191,-27.0,29.275
47,0.2998,0.2598,0.0403,-31.0,-34.588,44.321
48,0.2341,0.1455,-0.103,-25.473,-46.275,57.374
49,0.0295,-0.0051,-0.2092,-23.046,-47.702,59.824
