t,ax,ay,az,gx,gy,gz,label
44675,0.9312,0.3369,-0.2969,-4.16,3.969,0.878,fall
44695,0.9248,0.3369,-0.2844,-6.13,4.832,0.534,fall
44715,0.937,0.3394,-0.292,-7.771,5.427,0.359,fall
44735,0.9229,0.3459,-0.283,-9.069,6.618,0.321,fall
44755,0.929,0.3481,-0.2727,-9.618,6.084,0.328,fall
44775,0.9292,0.3479,-0.2554,-10.84,6.496,0.229,fall
44795,0.9258,0.3484,-0.2881,-12.687,8.282,1.084,fall
44815,0.9302,0.3521,-0.23,-13.099,9.985,1.031,fall
44835,0.9324,0.3494,-0.2332,-12.221,5.863,1.42,fall
44855,0.9399,0.3564,-0.2434,-10.313,4.718,1.42,fall
44875,0.9375,0.355,-0.2493,-9.824,3.237,1.229,fall
44895,0.9456,0.3545,-0.2517,-8.298,1.214,0.786,fall
44915,0.9419,0.3445,-0.2415,-5.779,0.435,0.802,fall
44935,0.9336,0.3516,-0.249,-3.802,0.916,1.511,fall
44955,0.9292,0.3511,-0.2546,-2.595,1.504,2.473,fall
44975,0.9329,0.3462,-0.2581,-1.29,0.718,2.954,fall
44995,0.9365,0.3528,-0.2502,-0.351,0.809,2.504,fall
45015,0.9248,0.3503,-0.2563,0.168,4.176,2.443,fall
45035,0.9263,0.3391,-0.2578,-0.183,6.939,2.382,fall
45055,0.9434,0.3267,-0.252,-0.947,6.527,1.947,fall
45075,0.9495,0.3252,-0.2319,-0.252,6.008,1.763,fall
45095,0.9519,0.3286,-0.217,-0.641,6.298,1.603,fall
45115,0.9507,0.3228,-0.2148,-3.145,5.863,1.557,fall
45135,0.947,0.3311,-0.1968,-4.893,5.122,1.718,fall
45155,0.9529,0.3369,-0.1841,-8.756,3.267,1.137,fall
45175,0.9597,0.3367,-0.1677,-10.008,2.634,-0.16,fall
45195,0.9583,0.3567,-0.144,-8.496,3.176,-1.031,fall
45215,0.9534,0.3679,-0.1428,-6.359,2.947,-1.496,fall
45235,0.9475,0.3789,-0.1614,-2.45,2.855,-2.076,fall
45255,0.9399,0.3892,-0.1772,2.382,2.344,-2.244,fall
45275,0.9304,0.3784,-0.178,7.588,3.046,-2.305,fall
45295,0.9333,0.354,-0.2,12.618,4.221,-2.405,fall
45315,0.9604,0.3433,-0.2268,17.481,3.176,-2.74,fall
45335,0.959,0.3535,-0.2288,20.26,3.099,-3.366,fall
45355,0.9448,0.3386,-0.2407,21.481,3.191,-2.183,fall
45375,0.9211,0.3135,-0.248,21.443,3.679,0.313,fall
45395,0.9175,0.2957,-0.2344,19.42,6.214,2.969,fall
45415,0.9563,0.2891,-0.2114,16.679,4.863,3.122,fall
45435,0.9785,0.3003,-0.2297,13.885,3.916,1.282,fall
45455,0.9546,0.3147,-0.2451,13.977,2.183,1.389,fall
45475,0.9285,0.3154,-0.2588,15.557,2.122,1.908,fall
45495,0.9236,0.3206,-0.2778,16.885,2.779,2.282,fall
45515,0.9517,0.3242,-0.2695,17.863,1.603,2.061,fall
45535,0.9553,0.3279,-0.2776,17.153,0.031,1.481,fall
45555,0.9456,0.3508,-0.292,17.176,-1.061,2.023,fall
45575,0.9402,0.3667,-0.3132,18.26,-3.26,2.115,fall
45595,0.9426,0.3821,-0.3167,18.885,-3.298,0.603,fall
45615,0.9551,0.3728,-0.325,21.779,-4.137,-2.183,fall
45635,0.9558,0.3579,-0.3384,24.855,-4.695,-4.847,fall
45655,0.9482,0.3342,-0.3506,25.908,-2.084,-7.313,fall
45675,0.929,0.3069,-0.376,23.267,-0.802,-6.939,fall
45695,0.9224,0.3,-0.3862,19.656,-2.305,-6.198,fall
45715,0.9194,0.2966,-0.3809,17.275,-2.634,-5.573,fall
45735,0.9199,0.2971,-0.3669,13.786,-2.656,-4.267,fall
45755,0.9233,0.3162,-0.3899,10.122,-2.237,-2.664,fall
45775,0.9272,0.3113,-0.4001,8.26,-0.939,-1.229,fall
45795,0.8967,0.2949,-0.387,8.176,-0.015,1.023,fall
45815,0.8743,0.2815,-0.3735,8.641,1.786,2.672,fall
45835,0.8745,0.2898,-0.3765,6.176,2.397,4.061,fall
45855,0.8569,0.2825,-0.3782,1.389,2.481,5.16,fall
45875,0.8386,0.2881,-0.3418,-2.252,5.092,5.122,fall
45895,0.8235,0.293,-0.3384,-5.176,8.137,4.824,fall
45915,0.8389,0.3071,-0.334,-5.901,13.305,4.802,fall
45935,0.8669,0.332,-0.3347,-6.855,16.916,3.977,fall
45955,0.8718,0.3555,-0.3296,-9.0,21.092,2.282,fall
45975,0.8882,0.3872,-0.3076,-12.756,21.893,0.977,fall
45995,0.8838,0.3835,-0.2788,-17.557,24.221,-0.382,fall
46015,0.8813,0.3706,-0.2271,-18.786,28.405,-0.847,fall
46035,0.8718,0.3806,-0.2544,-17.473,34.015,-0.947,fall
46055,0.9019,0.4519,-0.2854,-15.794,34.489,-1.481,fall
46075,0.9607,0.5049,-0.2512,-13.458,30.176,-6.924,fall
46095,0.9475,0.5125,-0.269,-12.878,29.557,-11.015,fall
46115,0.9741,0.4827,-0.2915,-11.725,25.092,-11.557,fall
46135,0.9792,0.4302,-0.1597,-19.29,17.153,-10.008,fall
46155,0.9995,0.3313,-0.0251,-19.473,17.733,-9.168,fall
46175,1.1118,0.3628,-0.239,-24.573,9.954,-12.046,fall
46195,0.9832,0.3345,-0.2705,-36.542,2.763,-12.076,fall
46215,0.8477,0.2407,-0.2061,-40.878,3.351,-6.817,fall
46235,0.9404,0.2209,-0.208,-38.863,5.206,-8.718,fall
46255,0.9949,0.2273,-0.2002,-36.511,-0.321,-14.679,fall
46275,1.001,0.2449,-0.2048,-33.542,1.412,-14.519,fall
46295,1.0229,0.2683,-0.2212,-27.084,7.931,-7.87,fall
46315,1.0374,0.28,-0.2124,-15.374,10.374,0.588,fall
46335,1.0085,0.2896,-0.2017,-2.969,11.214,6.26,fall
46355,0.9788,0.2825,-0.1873,8.679,14.176,8.908,fall
