t,ax,ay,az,gx,gy,gz,label
111507,0.9702,0.2751,-0.104,1.954,-0.275,1.107,nornal
111527,0.9778,0.2717,-0.1165,2.832,0.84,1.366,nornal
111547,0.9751,0.2708,-0.1304,2.405,0.534,1.42,nornal
111567,0.97,0.2695,-0.1157,2.328,0.664,0.977,nornal
111587,0.9753,0.2686,-0.1187,2.756,1.359,1.298,nornal
111607,0.9758,0.2756,-0.1145,1.519,0.771,0.901,nornal
111627,0.9702,0.281,-0.1113,1.252,1.137,0.733,nornal
111647,0.9724,0.2822,-0.1184,0.618,0.435,1.282,nornal
111667,0.9775,0.2932,-0.1233,1.183,-0.725,1.893,nornal
111687,0.9663,0.2849,-0.1252,1.954,0.71,2.527,nornal
111707,0.9736,0.2837,-0.125,2.695,1.771,2.931,nornal
111727,0.9751,0.2761,-0.1309,2.282,1.977,2.908,nornal
111747,0.9724,0.2732,-0.1304,2.519,0.847,2.947,nornal
111767,0.9756,0.2761,-0.1348,3.435,0.557,2.71,nornal
111787,0.9678,0.2761,-0.1323,3.466,0.618,2.885,nornal
111807,0.9753,0.2737,-0.1348,2.809,0.351,3.076,nornal
111827,0.9739,0.2688,-0.1335,3.061,0.756,2.702,nornal
111847,0.9702,0.2664,-0.135,3.275,1.664,2.038,nornal
111867,0.9675,0.2749,-0.1426,3.122,2.336,1.58,nornal
111887,0.9741,0.2681,-0.1399,2.931,1.893,0.832,nornal
111907,0.9805,0.2649,-0.1421,2.046,1.084,0.588,nornal
111927,0.9692,0.2698,-0.1304,1.824,1.634,0.977,nornal
111947,0.9717,0.2705,-0.1384,1.634,2.473,1.214,nornal
111967,0.9783,0.2683,-0.1367,1.382,2.924,1.183,nornal
111987,0.9746,0.2598,-0.135,1.107,2.763,0.832,nornal
112007,0.9751,0.2637,-0.1445,0.466,2.366,1.046,nornal
112027,0.9756,0.2622,-0.145,0.802,2.466,0.893,nornal
112047,0.9783,0.2568,-0.1399,1.13,2.656,0.595,nornal
112067,0.9797,0.2585,-0.1418,1.099,2.969,0.458,nornal
112087,0.9802,0.2534,-0.1404,1.435,2.588,0.802,nornal
112107,0.9797,0.2585,-0.1431,0.282,1.198,0.794,nornal
112127,0.9756,0.2537,-0.145,-0.015,1.267,0.824,nornal
112147,0.9785,0.2554,-0.1426,-0.611,1.084,1.0,nornal
112167,0.9802,0.2551,-0.1472,-1.16,1.076,1.244,nornal
112187,0.9797,0.2578,-0.1533,-3.206,0.527,1.0,nornal
112207,0.9727,0.2554,-0.1443,-3.58,-0.16,0.763,nornal
112227,0.98,0.2615,-0.1418,-2.473,0.832,0.87,nornal
112247,0.9692,0.2729,-0.1492,-2.802,0.718,0.847,nornal
112267,0.9666,0.2686,-0.1357,-3.359,1.122,0.832,nornal
112287,0.9761,0.2676,-0.1458,-1.603,2.008,0.267,nornal
112307,0.9785,0.2725,-0.145,0.756,1.656,0.252,nornal
112327,0.9758,0.2673,-0.1401,2.099,2.809,-0.206,nornal
112347,0.978,0.2651,-0.1472,3.038,3.42,-0.038,nornal
112367,0.9817,0.2612,-0.1304,3.534,3.969,-0.061,nornal
112387,0.9768,0.2681,-0.1504,3.42,3.656,0.176,nornal
112407,0.9758,0.2637,-0.1499,3.542,3.061,0.321,nornal
112427,0.9785,0.2561,-0.1506,3.481,2.847,0.305,nornal
112447,0.9771,0.259,-0.1497,3.145,2.359,0.466,nornal
112467,0.9702,0.2627,-0.1497,2.023,1.954,0.275,nornal
112488,0.9695,0.2556,-0.1431,1.313,2.519,0.298,nornal
112508,0.9875,0.2549,-0.1492,1.771,2.702,0.466,nornal
112528,0.9766,0.2583,-0.158,2.817,2.237,0.107,nornal
112548,0.9724,0.2603,-0.1609,2.092,2.802,0.267,nornal
112568,0.978,0.2502,-0.1533,2.298,3.756,0.092,nornal
112588,0.9812,0.2561,-0.1492,3.481,3.634,-0.13,nornal
112608,0.978,0.2654,-0.1416,4.359,3.87,0.015,nornal
112628,0.9773,0.2585,-0.1509,4.832,3.458,-0.053,nornal
112648,0.9744,0.2571,-0.1499,4.641,4.527,-0.13,nornal
