ts,prob,reason
1764865432.157385,0.03,-
1764865432.6589098,0.03,-
1764865433.1898332,0.03,-
1764865433.654307,0.03,-
1764865434.153325,0.035,-
1764865434.658688,0.705,-
1764865435.1548703,0.965,-
1764865435.6554592,0.945,-
1764865436.3949916,0.95,-
1764865436.6615267,0.95,-
1764865437.1544778,0.95,-
1764865437.6579316,0.95,-
1764865438.1549926,0.95,-
1764865438.6577108,0.945,-
1764865439.1563478,0.95,-
1764865439.6650949,0.95,-
1764865440.154986,0.95,-
1764865440.6569502,0.95,-
1764865441.1556382,0.95,-
1764865441.660303,0.95,-
1764865442.1590428,0.95,-
1764865442.6586123,0.95,-
1764865443.1599264,0.95,-
1764865443.660165,0.95,-
1764865444.3459074,0.95,-
1764865444.660255,0.95,-
1764865445.1643777,0.95,-
1764865445.6651742,0.95,-
1764865446.1616096,0.95,-
1764865446.661537,0.95,-
1764865447.1595187,0.95,-
1764865447.668579,0.96,-
1764865448.16006,0.71,-
1764865448.6544428,0.055,-
1764865449.162297,0.005,-
1764865449.6611238,0.0,-
1764865450.1609533,0.0,-
1764865450.6640813,0.0,-
1764865451.1717877,0.0,-
1764865451.6644037,0.0,-
